# r wp
5.729420217382171776e-01 -2.312195528501948445e+02
7.335286447904110219e-01 -1.772856494223119057e+02
9.391251685391365234e-01 -2.056008607545890072e+02
1.202347159101961216e+00 -1.338195818139146809e+02
1.539346127044311618e+00 1.213857518076906388e+02
1.970800596905951663e+00 3.739561213899356176e+02
2.523184957903267023e+00 5.367144982831800917e+02
3.230393953494993031e+00 4.460117358594142161e+02
4.135822489782409406e+00 2.887338504032355218e+02
5.295028381440559428e+00 2.225251565688841708e+02
6.779141423387373244e+00 1.582787185998770667e+02
8.679227971538018949e+00 1.409836619990375084e+02
1.111187884678880700e+01 1.300426904274816309e+02
1.422636344046073376e+01 7.309099228072803101e+01
1.821378900279908564e+01 5.926563396477087053e+01
2.331882713575192767e+01 5.012499684932618038e+01
2.985472703694514252e+01 2.698933647899400157e+01
3.822253671943794018e+01 1.668922993137963928e+01
4.893571163658087642e+01 7.066368432639273500e+00
6.265162071675839428e+01 7.471402422757270401e+00
