# r wp
5.729420217382171776e-01 -2.121913013373303727e+02
7.335286447904110219e-01 -1.716746044631744326e+02
9.391251685391365234e-01 -1.905555940310334506e+02
1.202347159101961216e+00 -1.614855534382494682e+02
1.539346127044311618e+00 6.893359395247915700e+01
1.970800596905951663e+00 5.026441017938395817e+02
2.523184957903267023e+00 5.212480811002220662e+02
3.230393953494993031e+00 4.364506872684942209e+02
4.135822489782409406e+00 2.535119729832554469e+02
5.295028381440559428e+00 1.944136903493833586e+02
6.779141423387373244e+00 1.539500503014952812e+02
8.679227971538018949e+00 1.617636602256327478e+02
1.111187884678880700e+01 1.284776392527459734e+02
1.422636344046073376e+01 7.090865117617624946e+01
1.821378900279908564e+01 6.466984103315452614e+01
2.331882713575192767e+01 5.347914222930785400e+01
2.985472703694514252e+01 2.799484250795774898e+01
3.822253671943794018e+01 1.993186404630749564e+01
4.893571163658087642e+01 4.302955516985226048e+00
6.265162071675839428e+01 8.924997719958241760e+00
