# r wp
5.729420217382171776e-01 -2.250334932579596341e+02
7.335286447904110219e-01 -1.584486936315480534e+02
9.391251685391365234e-01 -1.904874365777686194e+02
1.202347159101961216e+00 -1.681834124278244644e+02
1.539346127044311618e+00 7.140924636000309533e+01
1.970800596905951663e+00 5.336134567827403998e+02
2.523184957903267023e+00 4.791059609113283955e+02
3.230393953494993031e+00 4.593006290862026617e+02
4.135822489782409406e+00 2.388979487572073594e+02
5.295028381440559428e+00 2.267349530258587436e+02
6.779141423387373244e+00 1.785538315114728221e+02
8.679227971538018949e+00 1.558881896775771168e+02
1.111187884678880700e+01 1.300519382726610331e+02
1.422636344046073376e+01 7.767446720379724923e+01
1.821378900279908564e+01 6.686630636624944657e+01
2.331882713575192767e+01 5.443587985295818754e+01
2.985472703694514252e+01 2.546238122075543941e+01
3.822253671943794018e+01 1.646802702681824826e+01
4.893571163658087642e+01 4.565677562057489425e+00
6.265162071675839428e+01 1.079645993353205036e+01
