# r wp
5.729420217382171776e-01 -2.061300418754728128e+02
7.335286447904110219e-01 -1.959061486642171133e+02
9.391251685391365234e-01 -1.988395797182430158e+02
1.202347159101961216e+00 -1.349564480643092281e+02
1.539346127044311618e+00 9.499553365021647267e+01
1.970800596905951663e+00 4.666640260755876852e+02
2.523184957903267023e+00 4.098863916549730106e+02
3.230393953494993031e+00 4.067386024788075360e+02
4.135822489782409406e+00 3.500743648712894469e+02
5.295028381440559428e+00 2.319480381206734876e+02
6.779141423387373244e+00 1.762894714141785357e+02
8.679227971538018949e+00 1.642453829097792379e+02
1.111187884678880700e+01 8.785472304293060120e+01
1.422636344046073376e+01 7.538670183008812842e+01
1.821378900279908564e+01 5.374123980217886754e+01
2.331882713575192767e+01 3.233096588040913844e+01
2.985472703694514252e+01 3.098860016953593899e+01
3.822253671943794018e+01 1.593667348395656980e+01
4.893571163658087642e+01 8.007726454300676977e+00
6.265162071675839428e+01 2.161009456532669404e+00
